202

156, 4, 2
200, 2, 2
57, 9, 2
95, 3, 1
38, 1, 2
219, 2, 2
165, 4, 1
146, 6, 0
126, 5, 1
125, 11, 1
64, 1, 1
60, 2, 2
122, 8, 2
144, 2, 2
113, 12, 2
129, 3, 0
186, 9, 0
225, 1, 2
116, 12, 2
195, 12, 0
98, 1, 0
134, 14, 2
150, 0, 2
24, 3, 1
166, 17, 2
79, 13, 0
102, 7, 0
148, 3, 0
6, 14, 0
75, 6, 2
162, 5, 2
210, 2, 0
92, 6, 1
30, 3, 0
19, 5, 0
109, 4, 0
445, 10, 2
39, 11, 2
138, 2, 0
56, 9, 1
25, 12, 2
96, 7, 2
2, 8, 0
181, 11, 1
62, 7, 2
128, 5, 1
49, 5, 1
120, 3, 1
20, 11, 2
188, 0, 1
139, 6, 0
100, 17, 2
62, 15, 2
142, 12, 0
57, 5, 2
48, 2, 2
105, 2, 0
179, 9, 1
41, 0, 0
135, 1, 0
132, 0, 1
452, 10, 2
95, 8, 0
199, 3, 0
94, 12, 2
151, 4, 2
79, 6, 1
203, 6, 2
23, 9, 0
112, 10, 0
266, 5, 0
151, 5, 0
212, 15, 0
122, 7, 0
74, 1, 2
92, 4, 2
172, 5, 2
31, 7, 1
220, 1, 2
44, 5, 1
225, 4, 2
185, 0, 0
150, 10, 1
101, 1, 1
168, 4, 0
13, 9, 2
175, 3, 1
134, 9, 0
33, 10, 0
205, 6, 2
74, 0, 0
38, 12, 0
172, 17, 2
73, 14, 0
